title,company,category,status,min_edu,min_exp,description,url
Branch Support Staff,PT Wisma Putra Wicaksana,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Branch Support Staff at PT Wisma Putra WicaksanaProfil PerusahaanPT. Wisma Putra Wicaksana adalah perusahaan yang mendistribusikan produk sanitari khususnya di Pulau Bali. Produk kami yang bernama Ateson ditemukan pertama kali pada tahun 2018 dan setelah itu dikenal sebagai produk sanitari berwarna pertama yang ada di Indonesia. Kami bekerja sama dengan rekanan yang berlokasi di kota Jakarta, Pekanbaru, Padang, Medan, Semarang, Makassar dan juga kantor pusat kami di kota Bandung. Silakan kunjungi website atau instagram (atesonhome) untuk mendapat informasi tambahan.Kualifikasi pekerjaan 3 tahun pengalaman sebagai staff bagian pendukung operasional                               
 Mampu bekerjasama dalam tim                                                                                             
 Mampu berkomunikasi dengan baik
 Mampu membuat catatan administrasi                                                                                                               
 Pribadi yang giat bekerja, cekatan, disiplin dan rapi                                                 
 Penempatan di Teuku Umar Barat, Kota Denpasar Tugas dan tanggung jawab• Mengemas barang sesuai standard pengemasan barang di perusahaan• Memastikan barang yang akan dikemas sudah sesuai dengan hasil pengecekan tim terkait• Membersihkan semua ruangan yang ada di toko• Memastikan barang kebutuhan toko seperti ATK, alat kebersihan, pulsa listrik selalu tersedia• Merawat dan memperbaiki kelayakan fungsi sarana dan prasarana tokoBenefit• Pengembangan diri• Jenjang karir• Berbagai macam tunjanganWajib cantumkan angka harapan gaji Anda pada Surat LamaranRead Less",https://glints.com/id/en/opportunities/jobs/branch-support-staff/9d768cad-3818-49cb-ace9-19a47e06094f?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Manager Operasional,PT Pratama Suci Berdikari,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,Job description for Manager Operasional at PT Pratama Suci Berdikari1. Bertindak sebagai wakil manajer dan mengurus tugas-tugas manajer saat manajer tidak ada 2. Membantu manajer dengan masalah operasional 3. Menjadwalkan rapat dan sesi membangun tim 4. Berkoordinasi dengan berbagai departemen untuk memastikan alur kerja yang lancar Read Less,https://glints.com/id/en/opportunities/jobs/manager-operasional/11649e0b-fee4-4d4e-842b-2a9187d8ec4f?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Operasional Lapangan,Maju Laundry Consultant,Operations,Full-Time · Remote/WFH,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Operasional Lapangan at Maju Laundry Consultant• Memahami tren industri dan perilaku konsumen• Menyelesaikan persoalan outlet dengan cepat• Memiliki kemampuan Berkomunikasi dengan baik kepada Owner, Crew Outlet, dan pihak terkait• Melakukan sebar brosur dan kegiatan marketing lainnya untuk meningkatkan omzet outlet• Melakukan perubahan sarana promosi yang perlu diganti dioutlet• Memastikan seluruh SOP yang dioutlet berjalan dengan tepatRead Less",https://glints.com/id/en/opportunities/jobs/operasional-lapangan/a0cd5b2b-8a22-4d69-8722-721a16181d43?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Manager Operasional,Charme Official,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for Manager Operasional at Charme Official1. Pria/Wanita2. Min S1 semua jurusan3. Berpengalaman menjadi Leader/Managerial4. Dapat menguasai Ecommerce/Marketplace5. Wajib bisa bahasa Inggris/Mandarin6. Fulltime WFO di Jatiwarna, BekasiRead Less",https://glints.com/id/en/opportunities/jobs/manager-operasional/89191502-2b45-4a4c-b048-8be578f79a42?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Operator Produksi - Farmasi,PT IKAPHARMINDO PUTRAMAS TBK,Operations,Contract · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Operator Produksi - Farmasi at PT IKAPHARMINDO PUTRAMAS TBKKualifikasi

1. Laki-Laki usia maks. 28 thn
2. Pendidikan min SMK/SMA sederajat
3. Bersedia bekerja shift (wajib)
4. Pengalaman bekerja di perusahaan farmasi lebih disukai
5. Teliti, cekatan
6. Bersedia melakukan tes kesehatan
7. Bersedia join Oktober 2024
8. Bersedia bekerja di penempatan Kawasan Industri Pulogadung

JOBDESCRIPTION

-	Melakukan pengecekan kebersihan mesin dan peralatan produksi, kebersihan ruangan produksi dalam rangka  persiapan proses produksi cetak tablet, stripping, mixing sirup, mixing solid, filling sirup dan kapsul, pencucian dan produksi botol, produksi sortir, dan coating.-	Melakukan pengecekan kondisi mesin dan setting peralatan produksi untuk memastikan proses produksi berjalan sesuai SOP.-	Mempersiapkan bahan baku yang akan proses untuk mixing sirup dan solid agar sesuai dengan standar/batch record.-	Mempersiapkan bahan pengemas primer (foil dan PVC) untuk sediaan solid.-	Mempersiapkan produk yang akan disortir memenuhi pre sortir sesuai dengan standar.-	Memindahkan botol dan tutup botol dari luar ke ruang antara dan ke ruang filling untuk kebutuhan proses filling.-	Melakukan persiapan bahan kemas primer untuk produksi solid termasuk di dalamnya  mempersiapkan botol dan tutup untuk sediaan solid, melakukan blow & suck botol untuk solid Batch kecil, sedang dan besar dalam rangka memenuhi standar persiapan produksi bottling.Read Less",https://glints.com/id/en/opportunities/jobs/operator-produksi-farmasi/95736a9d-d7b6-4f6c-a008-c248e2724ffb?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Operations Crew (Service Operations),PT Barcode Karting Indonesia,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,3 - 5 years of experience,"Job description for Operations Crew (Service Operations) at PT Barcode Karting IndonesiaTujuan Jabatan:Mengelola proses registrasi, menyambut dan melayani pelanggan dengan ramah, serta memastikan setiap pelanggan mendapatkan informasi penting mengenai prosedur keselamatan, operasional go-kart, dan aturan yang berlaku. Operations Crew juga bertanggung jawab untuk menyediakan perlengkapan keselamatan dan pakaian pelindung dengan cepat dan efisien guna meningkatkan pengalaman pelanggan selama kunjungan mereka di Barcode Gokart.Kualifikasi:Ijazah SMA atau setara.Pengalaman dalam melayani pelanggan.Keterampilan komunikasi yang baik dan kemampuan bekerja sama dalam tim.Ketelitian dan komitmen terhadap keselamatan.Kebugaran fisik dan kemampuan bekerja di lingkungan luar ruangan jika diperlukan.Ketersediaan untuk bekerja pada akhir pekan dan hari libur.Keterampilan berbahasa Inggris merupakan nilai tambah.Read Less",https://glints.com/id/en/opportunities/jobs/operations-crew-service-operations/19fcc263-d852-4801-ba39-d1b2942f059a?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
OPERASIONAL MANAGER,PT Juragan Kucek Indonesia,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for OPERASIONAL MANAGER at PT Juragan Kucek IndonesiaSikap Penting dan Kriteria Mendasar:• Berjiwa Melayani (Sikap Melayani dengan tujuan dan kepribadian yang berorientasi pada kesuksesan).• Perhatian terhadap detail dengan keterampilan kepemimpinan & manajerial tingkat lanjut.• Keterampilan interpersonal yang sangat baik.• Kepribadian kepemimpinan yang kuat.• Mampu memotivasi, mengarahkan, mengendalikan dan memimpin para Supervisor.• Well Planner, Well Organizer, Well Executor, sekaligus problem solver yang juga handal berkoordinasi lintas departemen.• Kemampuan mobilitas fisik (perjalanan) yang tinggi antarwilayah/kota.• Memiliki kemampuan menghasilkan kinerja tim secara kritis dan obyektif.• Memiliki loyalitas, integritas dan dedikasi terhadap profesi di bidang Laundry.• Mampu bekerja mandiri dengan kendali dan pengawasan rendah (accountable with minimum supervision).• Mampu bekerja memenuhi tenggat waktu dengan tetap stabil di bawah tekanan tinggi (stay stable under high pressure work environment).Tugas dan tanggung jawab lainnya, meliputi:• Mengidentifikasi, mengembangkan, dan menerapkan proses operasional outlet yang efisien.• Membuat dan Memastikan kegiatan di outlet berjalan sesuai SOP• Melakukan laporan, harian, mingguan dan bulanan.• Bekerjasama dengan General Manager dan Director/Ownerdalam mengusulkan Program kerja• Mengembangkan, menerapkan serta meninjau kebijakan dan prosedur operasional.• Memantau omset harian, mingguan dan bulanan dari semua outlet.• Perencanaan Pengembangan Manusia; mengarahkan penilaian kebutuhan pelatihan dan pengembangan SDM guna meningkatkan efektivitas kinerja semua associate dan leader pada divisi operasional, dalam rangka mencapai tujuan dan sasaran perusahaan.• Bekerjasama dengan Department General Manager & Directors dalam menentukan nilai dan misi, serta merencanakan berbagai tujuan jangka pendek dan jangka panjang.Qualification & Requirements:• Pria usia min. 28 s.d. 35 tahun• Pendidikan minimal S1 atau sederajat di semua jurusan.• Pengalaman minimal 2 tahun sebagai Operations Manager yang membawahi perusahaan berbasis kemitraan/franchise• Bersedia melakukan perjalanan kerja antar kota/daerah.• Bersedia bekerja di luar jam kantor dan akhir pekan, bila diperlukan.• Terbiasa menggunakan Ms.Office (Word, Excel, Power point dll)Read Less",https://glints.com/id/en/opportunities/jobs/operasional-manager/f9fcbdb5-3c8b-4e30-b5ea-3f21d99d03a3?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Operation Manager,Benihbaik.com,Operations,Contract · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Operation Manager at Benihbaik.comJob Description: Formulating strategy, improving performance, procuring material & resources, and securing compliance.  Direct, manage, train, and mentor operation team members. Resolve any issue and solve any problems arising during the project's schedule.Implement end-to-end program management cycle from research to proposal development, implementation, and monitoring that contributes to Benih Baik's mission related to environment and sustainability.Establish report and verified data of delivery to meeting regularly with BODNegotiation and request for quotation revision with Vendor  (if there are changes) until Establish RAB procurement from VendorsRequirements3 Years Diploma (D3) / Bachelor’s Degree in an appropriate field of studyMinimum 5-year experience in the field of Operation Manager/Project Management/Project Control/PMOAgile and dynamic, able to do multitasking and know how to make priorityGood knowledge of project management tools (Trello, Jira, Microsoft Project & Google Suites, etc)Having background from Crowdfunding Platform or CSR Environment are preferredWell Known with B2B, Sustainable Development Goals (SDGs), Environmental Social Governance (ESG)Excellent written and verbal communication skillsRead Less",https://glints.com/id/en/opportunities/jobs/operation-manager/68dee006-e515-4812-a72b-9a7f60a5335b?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
OPERATOR PRODUKSI,Wacuci Laundry,Operations,Full-Time · On-site,Minimum Secondary School,1 - 3 years of experience,Job description for OPERATOR PRODUKSI at Wacuci LaundryKualifikasi:1. Jujur dan pekerja keras2. Min SMP/SMK 3. Max umur 35th4. Pria/wanita dipersilahkan 5. Bersedia mengikuti jam kerja fulltime & shifting 6. Bersedia ditempatkan diseluruh cabang wacuci laundry7. Bersedia mengikuti peraturan dan regulasi wacuci laundryRead Less,https://glints.com/id/en/opportunities/jobs/operator-produksi/b0919f18-12e8-476b-9382-3da7dca5d81c?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Operational Staff,Pt. Day Trans,Operations,Contract · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for Operational Staff at Pt. Day TransQualificationLaki-lakiBerumur 22 – 35 tahunPendidikan minimal D3 / S1 Jurusan transportasi dan jurusan lainnyaPengalaman di bidang transportasi diutamakanMahir menggunakan Microsoft OfficeBersedia bekerja dengan metode shiftTeliti, dapat bekerjasama dengan team maupun individuJujur, disiplin, tegas, bertanggung jawab dan profesionalJob Description (operasional logistic)Membuat dan Mengatur jadwal operasional Driver & ArmadaMemonitoring system aplikasi layanan penumpang (Tiketux)Melakukan pengawasan kinerja, kerapihan, kebersihan crew Driver & UnitMenghandle permasalahan Driver dan ArmadaBertanggung jawab atas legalitas armadaMemantau kegiatan operasonal berjalan dengan baikbersedia ditempatkan sesuai dengan kebutuhan perusahaan.PENEMPATAN : DAYTRANS JAKARTARead Less",https://glints.com/id/en/opportunities/jobs/operational-staff/e5c79f8f-d599-4d1c-b407-6e640f8115f9?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Supervisor Operasional Umroh/Haji & Travel,PT Andaf Mulia Korpora (Andaf Corp),Operations,Full-Time · On-site,Minimum Bachelor’s Degree,Less than a year of experience,"Job description for Supervisor Operasional Umroh/Haji & Travel at PT Andaf Mulia Korpora (Andaf Corp)Kualifikasi	1. Minimal S1 (Management, Pendidikan Islam, Pariwisata dan/atau lain sebagainya yang relevan)                                        2. Minimal memiliki pengalaman sama 2-5 Tahun3. Mengerti Industri Umroh/Haji & Travel Diutamakan4. Berpengalaman dalam Industri Umroh/Haji & Travel Diutamakan5. Dapat Bekerja secara Tim dan Individu6. Mampu untuk ""Team Management""7. Memiliki Keterampilan dalam Multiple Task8. Dedikasi Waktu & Tanggung Jawab9. Have a Good Communication SkillKemampuan & Skill :1. Pemahaman Mendalam perihal Excel & Spreadsheet2. Pemahaman perihal Project Management3. Mampu untuk Melakukan Analisa Data4. Mampu untuk Membuat dan Menampilkan Data5. Berkemampuan untuk Proaktif dalam Improvement6. Customer Satisfaction Oriented7. Terbiasa dengan Melayani CustomerRead Less",https://glints.com/id/en/opportunities/jobs/supervisor-operasional-umroh-haji-and-travel/8b3317fa-c614-4a66-b5eb-e8d0f3940c6d?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Staff Operasional Wilayah Jambi,PT Raja Cepat Nusantara,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for Staff Operasional Wilayah Jambi at PT Raja Cepat NusantaraJob DescriptionsJob Desk Operasional Logistik,mencakup berbagai tanggung jawab yang berkaitan dengan pengelolaan aliran barang dan informasi dalam rantai pasokan. Berikut adalah beberapa tugas utama dalam posisi operasional logistik:Pengelolaan Gudang, Mengawasi penerimaan, penyimpanan, dan pengeluaran barang dari gudang. Menjaga agar stok barang tetap teratur dan tidak ada barang yang hilang atau rusak.Pengaturan Pengiriman,Merencanakan dan mengatur pengiriman barang ke pelanggan atau lokasi tujuan, termasuk memilih jalur transportasi yang tepat dan memastikan pengiriman tepat waktu.Pemantauan Inventaris,Memantau dan mengontrol persediaan barang, baik secara manual maupun dengan bantuan sistem manajemen inventaris (ERP/WMS), untuk memastikan ketersediaan barang sesuai dengan kebutuhan.Koordinasi dengan Pihak Ketiga, Berkoordinasi dengan perusahaan pengiriman, jasa ekspedisi, atau penyedia transportasi untuk memastikan pengiriman berjalan lancar.Dokumentasi, Menyiapkan dan memverifikasi dokumen-dokumen terkait pengiriman dan penerimaan barang, seperti surat jalan, faktur, dan dokumen bea cukai.Job RequirementsPendidikan minimal S1 Ilmu Komunikasi / Manajemen Pengalaman minimal 1 tahun di bidang yang samaMempunyai kemampuan pemecahan masalah yang efektif Memahami industri perangkat lunak Mahir dalam Microsoft Office (terutama excel)Read Less",https://glints.com/id/en/opportunities/jobs/staff-operasional-wilayah-jambi/11abf5ea-03da-4934-81e5-4526f9116e8e?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Staff Operasional Wilayah Bengkulu,PT Raja Cepat Nusantara,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for Staff Operasional Wilayah Bengkulu at PT Raja Cepat NusantaraJob DescriptionsJob Desk Operasional Logistik,mencakup berbagai tanggung jawab yang berkaitan dengan pengelolaan aliran barang dan informasi dalam rantai pasokan. Berikut adalah beberapa tugas utama dalam posisi operasional logistik:Pengelolaan Gudang, Mengawasi penerimaan, penyimpanan, dan pengeluaran barang dari gudang. Menjaga agar stok barang tetap teratur dan tidak ada barang yang hilang atau rusak.Pengaturan Pengiriman,Merencanakan dan mengatur pengiriman barang ke pelanggan atau lokasi tujuan, termasuk memilih jalur transportasi yang tepat dan memastikan pengiriman tepat waktu.Pemantauan Inventaris,Memantau dan mengontrol persediaan barang, baik secara manual maupun dengan bantuan sistem manajemen inventaris (ERP/WMS), untuk memastikan ketersediaan barang sesuai dengan kebutuhan.Koordinasi dengan Pihak Ketiga, Berkoordinasi dengan perusahaan pengiriman, jasa ekspedisi, atau penyedia transportasi untuk memastikan pengiriman berjalan lancar.Dokumentasi, Menyiapkan dan memverifikasi dokumen-dokumen terkait pengiriman dan penerimaan barang, seperti surat jalan, faktur, dan dokumen bea cukai.Job RequirementsPendidikan minimal S1 Ilmu Komunikasi / Manajemen Pengalaman minimal 1 tahun di bidang yang samaMempunyai kemampuan pemecahan masalah yang efektif Memahami industri perangkat lunak Mahir dalam Microsoft Office (terutama excel)Read Less",https://glints.com/id/en/opportunities/jobs/staff-operasional-wilayah-bengkulu/67e8927f-7c25-49e3-8a6c-706e0b7eded0?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Staff Operasional Wilayah Batam,PT Raja Cepat Nusantara,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for Staff Operasional Wilayah Batam at PT Raja Cepat NusantaraJob DescriptionsJob Desk Operasional Logistik,mencakup berbagai tanggung jawab yang berkaitan dengan pengelolaan aliran barang dan informasi dalam rantai pasokan. Berikut adalah beberapa tugas utama dalam posisi operasional logistik:Pengelolaan Gudang, Mengawasi penerimaan, penyimpanan, dan pengeluaran barang dari gudang. Menjaga agar stok barang tetap teratur dan tidak ada barang yang hilang atau rusak.Pengaturan Pengiriman,Merencanakan dan mengatur pengiriman barang ke pelanggan atau lokasi tujuan, termasuk memilih jalur transportasi yang tepat dan memastikan pengiriman tepat waktu.Pemantauan Inventaris,Memantau dan mengontrol persediaan barang, baik secara manual maupun dengan bantuan sistem manajemen inventaris (ERP/WMS), untuk memastikan ketersediaan barang sesuai dengan kebutuhan.Koordinasi dengan Pihak Ketiga, Berkoordinasi dengan perusahaan pengiriman, jasa ekspedisi, atau penyedia transportasi untuk memastikan pengiriman berjalan lancar.Dokumentasi, Menyiapkan dan memverifikasi dokumen-dokumen terkait pengiriman dan penerimaan barang, seperti surat jalan, faktur, dan dokumen bea cukai.Job RequirementsPendidikan minimal S1 Ilmu Komunikasi / Manajemen Pengalaman minimal 1 tahun di bidang yang samaMempunyai kemampuan pemecahan masalah yang efektif Memahami industri perangkat lunak Mahir dalam Microsoft Office (terutama excel)Read Less",https://glints.com/id/en/opportunities/jobs/staff-operasional-wilayah-batam/b81916c9-1ed0-45cb-ac24-385fc6a6b3dc?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Staff Operasional Wilayah Siantar,PT Raja Cepat Nusantara,Operations,Full-Time · On-site,Minimum Associate Degree,5 - 10 years of experience,"Job description for Staff Operasional Wilayah Siantar at PT Raja Cepat NusantaraJob DescriptionsJob Desk Operasional Logistik,mencakup berbagai tanggung jawab yang berkaitan dengan pengelolaan aliran barang dan informasi dalam rantai pasokan. Berikut adalah beberapa tugas utama dalam posisi operasional logistik:Pengelolaan Gudang, Mengawasi penerimaan, penyimpanan, dan pengeluaran barang dari gudang. Menjaga agar stok barang tetap teratur dan tidak ada barang yang hilang atau rusak.Pengaturan Pengiriman,Merencanakan dan mengatur pengiriman barang ke pelanggan atau lokasi tujuan, termasuk memilih jalur transportasi yang tepat dan memastikan pengiriman tepat waktu.Pemantauan Inventaris,Memantau dan mengontrol persediaan barang, baik secara manual maupun dengan bantuan sistem manajemen inventaris (ERP/WMS), untuk memastikan ketersediaan barang sesuai dengan kebutuhan.Koordinasi dengan Pihak Ketiga, Berkoordinasi dengan perusahaan pengiriman, jasa ekspedisi, atau penyedia transportasi untuk memastikan pengiriman berjalan lancar.Dokumentasi, Menyiapkan dan memverifikasi dokumen-dokumen terkait pengiriman dan penerimaan barang, seperti surat jalan, faktur, dan dokumen bea cukai.Job RequirementsPendidikan minimal S1 Ilmu Komunikasi / Manajemen Pengalaman minimal 1 tahun di bidang yang samaMempunyai kemampuan pemecahan masalah yang efektif Memahami industri perangkat lunak Mahir dalam Microsoft Office (terutama excel)Read Less",https://glints.com/id/en/opportunities/jobs/staff-operasional-wilayah-siantar/596fc515-2fff-4965-b8f7-12ded31f2100?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Staff Operasional Wilayah Aceh,PT Raja Cepat Nusantara,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for Staff Operasional Wilayah Aceh at PT Raja Cepat NusantaraJob DescriptionsJob Desk Operasional Logistik,mencakup berbagai tanggung jawab yang berkaitan dengan pengelolaan aliran barang dan informasi dalam rantai pasokan. Berikut adalah beberapa tugas utama dalam posisi operasional logistik:Pengelolaan Gudang, Mengawasi penerimaan, penyimpanan, dan pengeluaran barang dari gudang. Menjaga agar stok barang tetap teratur dan tidak ada barang yang hilang atau rusak.Pengaturan Pengiriman,Merencanakan dan mengatur pengiriman barang ke pelanggan atau lokasi tujuan, termasuk memilih jalur transportasi yang tepat dan memastikan pengiriman tepat waktu.Pemantauan Inventaris,Memantau dan mengontrol persediaan barang, baik secara manual maupun dengan bantuan sistem manajemen inventaris (ERP/WMS), untuk memastikan ketersediaan barang sesuai dengan kebutuhan.Koordinasi dengan Pihak Ketiga, Berkoordinasi dengan perusahaan pengiriman, jasa ekspedisi, atau penyedia transportasi untuk memastikan pengiriman berjalan lancar.Dokumentasi, Menyiapkan dan memverifikasi dokumen-dokumen terkait pengiriman dan penerimaan barang, seperti surat jalan, faktur, dan dokumen bea cukai.Job RequirementsPendidikan minimal S1 Ilmu Komunikasi / Manajemen Pengalaman minimal 1 tahun di bidang yang samaMempunyai kemampuan pemecahan masalah yang efektif Memahami industri perangkat lunak Mahir dalam Microsoft Office (terutama excel)Read Less",https://glints.com/id/en/opportunities/jobs/staff-operasional-wilayah-aceh/9806c3c9-c151-492a-a46a-cafe5ddc74c8?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Operational Manager - HSE Training,Proxsis Group,Operations,Contract · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Operational Manager - HSE Training at Proxsis GroupRequirements:A minimum of a diploma is requiredAt least have a strong knowledge and 5 years of work experience in operational especially in HSE or PJK3Ability to innovate, inspire and introduce changeStrong leadership, communication and interpersonal skillsResults oriented personality who thrives working in a dynamic environmentWill be able to travel for work outside of town or mobile work and willing to be placed anywhere in Indonesia if required.Placement in Jakarta SelatanJob Details:The individual is responsible for managing daily operations, maintaining operational plans, and implementing innovative strategies to enhance industry output.Read Less",https://glints.com/id/en/opportunities/jobs/operational-manager-hse-training/9f41b133-0352-4a66-83c6-c263f6b741ee?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
Kitchen Staff K3Mart,Mitra Berkat Abadi,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Kitchen Staff K3Mart at Mitra Berkat AbadiKualifikasi :Wanita/Pria, Maksimal Umur 30 TahunMInimal Lulusan SMA/SMKMempunyai pengalaman bekerja di F&B lebih diutamakanBersedia di tempatkan di Pinang TangerangBersedia bekerja shifting

Tugas & Tanggung Jawab :Menyiapkan bahan makanan, membersihkan, dan memusnahkan sisa bahan makanan yang tidak terpakai


Tahapan Rekrutmen :

Interview HR PT Mitra Berkat Abadi
Interview User (Dengan Chef) K3Mart 

Read Less",https://glints.com/id/en/opportunities/jobs/kitchen-staff-k3mart/2e9dbb9b-eeda-4f0e-abfe-8cc99f92f4ad?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
E-Commerce Operations,PT. Dachin Etech Global,Operations,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for E-Commerce Operations at PT. Dachin Etech GlobalGeneral Benefits:Monthly basic salary above the UMK of Bekasi Regency Healthcare BPJS & Employment BPJS. 2 days off per week (5 working days).Lunch catering.  Performance allowance and monthly performance bonus. Team Building and Monthly Rewards.Responsibilities:Manage operational online store (marketplace) including but not limited to Create and maintain strore content and ensure all content is up to date and add products to store categories.Optimize the usage of online platform marketing tools.Act as liason officer to communicate all onlines stores program and needs with third party market place Coordinate with other department, Customer service and Warehouse for better result.Manage and monitoring online store’s stock.Create marketing strategy, sales report, and data analysis.Creating, testing, and iterating targeted segmented advertsKeep up to date with industry trends, conduct competitor research, and anticipate changes in Customer demand patterns.Monitor online customer feedback and act as a liaison with customers to work with or resolve customer or product situations.Set-up and optimise additional online sales channel: Shopee.
General Requirements:At least Bachelor's degree or above, major is not specified; passionate in e-commerce or Internet industry development.Good communication, coordination, analysis and expression skills.Actively participate in the activities organized by the school, and have certain leadership and organizational skills.Computer literacy, and Fluent in English.Proactive, practical, and obedient.High sense of integrity and commitment.Willing to be placed at Cikarang area (WFO 100%)Read Less",https://glints.com/id/en/opportunities/jobs/e-commerce-operations/01d3d921-591c-45d1-ad89-954c405c6316?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
cohost,PT NATURAL BEAUTY INDONESIA,Operations,Full-Time · On-site,Minimum Primary School,3 - 5 years of experience,Job description for cohost at PT NATURAL BEAUTY INDONESIAmenjadi asisten host,https://glints.com/id/en/opportunities/jobs/cohost/7d798dfd-d173-4ee3-bee4-c6b9f0ab44bf?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
E-Commerce Supervisor,Otoproject Group,Operations,Full-Time · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for E-Commerce Supervisor at Otoproject GroupTanggung jawab :Wajib Memiliki Jiwa Leadership yang baik Mengawasi operasional harian dari platform e-commerce, termasuk pembaruan, pemeliharaan dan penanganan masalah teknisMembuat strategi agar toko di E-Commerce (Tokopedia, Shopee, Tiktokshop, Lazada dan Bliblib) mencapai target penjualanMenjalankan jobdesc lain sesuai dengan ruang lingkup posisi tersebutBertanggung jawab dan memberikan laporan performa toko di marketplace (chat, penjualan, rating, dll)Memantau aktivitas dan kinerja penjualan setiap hari pada toko di E-Commerce secara keseluruhanBerkoordinasi baik dengan tim internal maupun eksternal perusahaan terkait kelancaran operasional toko pada E-CommerceMenganalisis data untuk meningkatkan strategi pemasaran dan performa toko pada E-CommerceMengatur dan mengawasi kegiatan live host di berbagai platform.Memastikan live host memahami produk dengan baik dan dapat menyampaikan informasi secara menarik kepada pelanggan.Memastikan tim sales merespon pertanyaan pelanggan dan menyelesaikan kasus dengan efisien.Memberikan layanan pelanggan yang sangat baik untuk meningkatkan kepuasan pelanggan. Kualifikasi :Minimal S1/D3/D1 atau (Skill dipersilakan)Usia maksimal 30 tahunPengalaman kerja sebagai Supervisor E-commerce Operation minimal 3 tahun Mampu bekerja secara individu maupun timMahir menggunakan seluruh platform e-commerce, seperti Tokopedia, Shopee, Tiktokshop, Lazada dan BlibliMemiliki Skill Sales yang baik Kreatif dan memiliki kemampuan untuk menghasilkan ide ide inovatif dan orisinilPenempatan kerja Cengkareng, Jakarta Barat Read Less",https://glints.com/id/en/opportunities/jobs/e-commerce-supervisor/b04af693-1d9b-4a2b-ac5d-68d2d6a04055?utm_referrer=explore&traceInfo=45b6989a-5a06-49a6-8d2f-ef549d176ce5
